,Neighborhood,city,name,address,rating,user_ratings_total,types,lat,long
307,Observatoire,Paris,Atelier Boubok,"16 Rue Nansouty, Paris",4.5,453,"['point_of_interest', 'establishment']",48.822949,2.335136
308,Observatoire,Paris,Il Far'Niente,"1 Rue Paul Fort, Paris",4.5,21,"['point_of_interest', 'establishment']",48.8235222,2.330380599999999
309,Observatoire,Paris,Fédération Française de Karaté,"39 Rue Barbès, Montrouge",1.6,388,"['point_of_interest', 'establishment']",48.8173566,2.3305646
310,Observatoire,Paris,Siège social Chronopost Paris,"3 Boulevard Romain Rolland, Paris",NaN,NaN,"['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",48.81896889999999,2.3286761
311,Observatoire,Paris,Laboratoire Crinex,"3 Rue de Gentilly, Montrouge",2.4,8,"['point_of_interest', 'establishment']",48.8180398,2.331695899999999
312,Observatoire,Paris,Fondation Santé des Etudiants de France,"8 Rue Émile Deutsch de la Meurthe, Paris",4.4,8,"['point_of_interest', 'establishment']",48.822085,2.3345317
313,Observatoire,Paris,Mercedes-Benz Porte d'Orleans,"15-17 Rue Barbès, Montrouge",4.5,24,,48.8175149,2.3273553
314,Observatoire,Paris,French Astronomy Association (AFA),"17 Rue Émile Deutsch de la Meurthe, Paris",NaN,NaN,,48.821654,2.334721
315,Observatoire,Paris,Fondation ABREU DE GRANCHER,"59 A Boulevard Jourdan, Paris",5,1,,48.821181,2.3309866
316,Observatoire,Paris,French Institute D'analyse Group And Psychodrame,"12 Rue Émile Deutsch de la Meurthe, Paris",NaN,NaN,,48.82188379999999,2.3345667
317,Observatoire,Paris,Millward Brown,"142 Avenue Paul Vaillant Couturier, Paris",,,,48.81675069999999,2.3348002
318,Observatoire,Paris,Editions Taitbout Sa,"8 Rue François Ory, Montrouge",,,,48.8183125,2.3289487
319,Observatoire,Paris,14th arrondissement of Paris,14th arrondissement of Paris,,,,48.8314408,2.325568399999999
400,Ménilmontant,Paris,Paris,Paris,NaN,NaN,"['point_of_interest', 'establishment']",48.85661400000001,2.3522219
401,Ménilmontant,Paris,Crêche Sainte Amélie,"7 Rue de Noisy-le-Sec, Paris",5,2,"['point_of_interest', 'establishment']",48.8719349,2.4114796
402,Ménilmontant,Paris,Bonjour Paris,"21 Rue Jules Siegfried, Paris",4.9,10,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.86650579999999,2.4079531
403,Ménilmontant,Paris,Harvest,"Tours Mercuriales, 40 Rue Jean Jaurès, Bagnolet",4,20,"['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",48.867596,2.415119
404,Ménilmontant,Paris,Pharmacie de la Mairie - Atlan well&well,"6 Rue Raoul Berton, Bagnolet",4.6,69,"['gas_station', 'car_repair', 'point_of_interest', 'establishment']",48.868253,2.417959999999999
405,Ménilmontant,Paris,Garage RENAULT Auto Service Saint-Fargeau,"3 Rue du Docteur Labbé, Paris",3.4,110,"['real_estate_agency', 'point_of_interest', 'establishment']",48.8699625,2.409954599999999
406,Ménilmontant,Paris,TOTAL,"101 Boulevard Mortier, Paris",5,1,"['point_of_interest', 'establishment']",48.87108449999999,2.4084355
407,Ménilmontant,Paris,FBO FRANCE - Home staging depuis 2012,"11 bis Rue des Pernelles, Bagnolet",2.4,10,"['point_of_interest', 'establishment']",48.870457,2.415459
408,Ménilmontant,Paris,Saficard,"60 Rue Marie Anne Colombier, Bagnolet",5,1,"['point_of_interest', 'establishment']",48.87205470000001,2.414560100000001
409,Ménilmontant,Paris,Municipal Collective Nursery Noisy Le Sec,"14 Rue de Noisy-le-Sec, Paris",5,2,"['insurance_agency', 'point_of_interest', 'establishment']",48.87180720000001,2.4121538
410,Ménilmontant,Paris,HOME PRIVILEGES,"10 Rue des Fougères, Paris",3.6,19,"['point_of_interest', 'establishment']",48.8724448,2.4108221
411,Ménilmontant,Paris,Société Foncière Les Mercuriales,"40 Rue Jean Jaurès, Bagnolet",5,2,"['point_of_interest', 'establishment']",48.8678629,2.4147532
412,Ménilmontant,Paris,Family Day Care De Noisy,"14 Rue de Noisy-le-Sec, Paris",4.7,32,"['point_of_interest', 'store', 'establishment']",48.87180720000001,2.4121538
413,Ménilmontant,Paris,PS Informatique & Phone,"78 Boulevard Mortier, Paris",NaN,NaN,,48.86934379999999,2.4092121
414,Ménilmontant,Paris,Center Jean Baptiste De La Salle,"72 Boulevard Mortier, Paris",NaN,NaN,,48.8688286,2.4092748
415,Ménilmontant,Paris,Le Drian Gilles,"68 Rue Hoche, Bagnolet",NaN,NaN,,48.8708829,2.413992
416,Ménilmontant,Paris,rougeisdesign,"4 Avenue de la Porte de Ménilmontant, Paris",NaN,NaN,,48.8704432,2.4095957
417,Ménilmontant,Paris,Ghesquiere Dominique,"50 Rue de la Justice, Paris",,,,48.8686811,2.4086001
418,Ménilmontant,Paris,MAI Paris,"15 Rue de la Justice, Paris",,,,48.86957809999999,2.407499399999999
419,Ménilmontant,Paris,20th arrondissement of Paris,20th arrondissement of Paris,,,,48.86491609999999,2.3984708
